ID	Old ID	Enzymes	Roles	Reaction
PS_complex_72ca88	rxn00018_d_A	Ribulose bisphosphate carboxylase	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)|Ribulose bisphosphate carboxylase large chain (EC 4.1.1.39)	rxn00018_d
PS_complex_1ef6ab	rxn00018_x_RX	Ribulose bisphosphate carboxylase	Ribulose bisphosphate carboxylase small chain (EC 4.1.1.39)	rxn00018_x
PS_complex_56f9bc	rxn00077_c_A	NAD kinase	NAD kinase (EC 2.7.1.23)	rxn00077_c
PS_complex_617266	rxn00077_d_A	NAD kinase	NAD kinase (EC 2.7.1.23)	rxn00077_d
PS_complex_cffd52	rxn00154_d_A	Pyruvate dehydrogenase	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)|Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)|Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)|Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00154_d
PS_complex_f4d020	rxn00154_m_A	Pyruvate dehydrogenase	Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex (EC 2.3.1.12)|Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)|Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)|Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	rxn00154_m
PS_complex_d7dae0	rxn00154_n_RX	Pyruvate dehydrogenase	Dihydrolipoamide dehydrogenase of pyruvate dehydrogenase complex (EC 1.8.1.4)	rxn00154_n
PS_complex_542235	rxn00179_c_A	Glutamate 5-kinase	Glutamate 5-kinase (EC 2.7.2.11)	rxn00179_c
PS_complex_6e7a50	rxn00179_d_A	Glutamate 5-kinase	Glutamate 5-kinase (EC 2.7.2.11)	rxn00179_d
PS_complex_fb3671	rxn00208_d_A	Pyridoxamine 5'-phosphate oxidase	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00208_d
PS_complex_c1c5d1	rxn00209_d_A	Pyridoxamine 5'-phosphate oxidase	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00209_d
PS_complex_ad5a5f	rxn00257_c_A	ATP-citrate (pro-S-)-lyase	ATP-citrate (pro-S-)-lyase, subunit 1 (EC 2.3.3.8)|ATP-citrate (pro-S-)-lyase, subunit 2 (EC 2.3.3.8)	rxn00257_c
PS_complex_d0cf5c	rxn00285_m_A	Succinyl-CoA ligase	Succinyl-CoA ligase [ADP-forming] beta chain (EC 6.2.1.5)|Succinyl-CoA ligase [ADP-forming] alpha chain (EC 6.2.1.5)	rxn00285_m
PS_complex_d92910	rxn00300_d_A	GTP cyclohydrolase	GTP cyclohydrolase II (EC 3.5.4.25)	rxn00300_d
PS_complex_3a527f	rxn00337_d_A	Aspartokinase	Aspartokinase (EC 2.7.2.4)	rxn00337_d
PS_complex_4b4bd9	rxn00412_c_A	CTP synthase	CTP synthase (EC 6.3.4.2)	rxn00412_c
