Subsystem	Role	Reactions	Genes	Reference	Consensus location	Notes	
Amino_acid_transport_in_plants	Alanine transport	rxn08104			cd		
Amino_acid_transport_in_plants	Arginine transport	rxn08155			cd, cm, cx		
Amino_acid_transport_in_plants	Asparagine transport	rxn05220			cd, cm, cx		
Amino_acid_transport_in_plants	Aspartate transport	rxn08170			cd, cm, cx		
Amino_acid_transport_in_plants	Chorismate transport	rxn32592			cd, cm, cx		
Amino_acid_transport_in_plants	Cysteine transport	rxn08284			cd, cm		
Amino_acid_transport_in_plants	Glutamate transport	rxn08633			cd, cm, cx		
Amino_acid_transport_in_plants	Glutamine transport	rxn29086			cd, cm, cx		
Amino_acid_transport_in_plants	Glycine transport	rxn05218			cd, cm, cx		
Amino_acid_transport_in_plants	Histidine transport	rxn08721			cd, cm, cx		
Amino_acid_transport_in_plants	Isoleucine transport	rxn08747			cd, cm, cx		
Amino_acid_transport_in_plants	Leucine transport	rxn08786			cd, cm, cx		
Amino_acid_transport_in_plants	Lysine transport	rxn08856			cd, cm, cx		
Amino_acid_transport_in_plants	Methionine transport	rxn08920			cd, cm, cx		
Amino_acid_transport_in_plants	Ornithine transport	rxn09048			cd, cm, cx		
Amino_acid_transport_in_plants	Phenylalanine transport	rxn09118			cd, cm, cx		
Amino_acid_transport_in_plants	Proline transport	rxn09193			cd, cm, cx		
Amino_acid_transport_in_plants	Serine transport	rxn09248			cd, cm, cx		
Amino_acid_transport_in_plants	Threonine transport	rxn09307			cd, cm, cx		
Amino_acid_transport_in_plants	Tryptophan transport	rxn05222			cd, cm, cx		
Amino_acid_transport_in_plants	Tyrosine transport	rxn09339			cd, cm, cx		
Amino_acid_transport_in_plants	Valine transport	rxn05245			cd, cm, cx		
Carbohydrate_transport_in_plants	5' Deoxyadenosine transport	rxn13822			cd, cm		
Carbohydrate_transport_in_plants	beta-Fructose-6-phosphate transport	rxn34364			cd		
Carbohydrate_transport_in_plants	beta-Glucose-6-phosphate transport	rxn29246			cd		
Carboxylate_transport_in_plants	2-Oxoglutarate transport	rxn10923			cd, cm, cx		
Carboxylate_transport_in_plants	3-Phosphoglycerate transport	rxn31169			cd, cm, cx		
Carboxylate_transport_in_plants	Bicarbonate transport	rxn10826			cd, cm, cv, cx		
Carboxylate_transport_in_plants	Carbon monoxide transport	rxn10480			cd, ce, cm, cv, cx		
Carboxylate_transport_in_plants	cis-Aconitate transport	rxn30639			cd, cm, cx		
Carboxylate_transport_in_plants	Citrate/Isocitrate antiporter	rxn09777			cd, cm, cx		
Carboxylate_transport_in_plants	Dihydroxyacetone transport	rxn31168			cd, cm, cx		
Carboxylate_transport_in_plants	Formate transport	rxn08525			cd, cm, cv, cx		
Carboxylate_transport_in_plants	Fumarate transport	rxn11013			cd, cm, cx		
Carboxylate_transport_in_plants	Glyceraldehyde 3-phosphate transport	rxn31167			cd, cm, cx		
Carboxylate_transport_in_plants	Glycerate transport	rxn32435			cd, cm, cx		
Carboxylate_transport_in_plants	Glycolate transport	rxn12426			cd, cm, cx		
Carboxylate_transport_in_plants	Glyoxylate transport	rxn09839			cd, cm, cx		
Carboxylate_transport_in_plants	Malate transport	rxn10967			cd, cm, cx		
Carboxylate_transport_in_plants	Mitochondrial pyruvate carrier (TC 2.A.105)	rxn09717			cm		
Carboxylate_transport_in_plants	Oxaloacetate transport	rxn13365			cd, cm, cx		
Carboxylate_transport_in_plants	Phosphoenolpyruvate transport	rxn27360			cd, cm, cx		
Carboxylate_transport_in_plants	Pyruvate transport	rxn10929			cd, cm, cx		
Carboxylate_transport_in_plants	Succinate transport	rxn10952			cd, cm, cx		
Cofactor_transport_in_plants	4-hydroxybenzoate transport	rxn09792			cm		
Cofactor_transport_in_plants	Folate-derivatives transport	rxn09711, rxn31828, rxn32628, rxn39242, rxn39243, rxn39241	AT5G66380		cd	SUBA: GFP cytosol and mito; MS data plasma membrane; mito and plastid; PPDB: mito; According to signal_#L peptide does not have signal, so analyzing the other data probably is in several locations	
Cofactor_transport_in_plants	Folate-derivatives transport	rxn09711, rxn31828, rxn32628, rxn39242, rxn39243, rxn39247	AT2G32040		cd	SUBA: GFP plastidial; PPDB: curated location chloroplast envelope	
Cofactor_transport_in_plants	Folate-derivatives transport	rxn09711, rxn31828, rxn32628, rxn39242, rxn39243, rxn39253	AT1G30400		cv		
Cofactor_transport_in_plants	Folate-derivatives transport	rxn09711, rxn31828, rxn32628, rxn39242, rxn39243, rxn39259			cm	HPPK-DHPS is mitochondrial [PMID:9118956], implying the need for HMP import.No pterin transporter has been found in plants. In Arabidopsis, nine proteins belong to the folate/biopterin transporter family. Five have been tested for transport in Leishmania BT1 pterin transport mutants, with negative results [PMID:19923217].	
Cofactor_transport_in_plants	Acetyl-CoA transport	rxn13213			cd, cm		
Cofactor_transport_in_plants	AMP transport	rxn31160, rxn31358			cd, cm		
Cofactor_transport_in_plants	Nucleotide transport	rxn08236, rxn08680, rxn09686, rxn29240, rxn29318, rxn29325, rxn29342	AT5G03555		cd	SUBA: GFP plastid; Predotar: plastid; Has signal peptide; PLUTO is located in inner plastid membrane [PMID:25250038]	
Cofactor_transport_in_plants	Nucleotide transport	rxn08236, rxn08680, rxn09686, rxn29240, rxn29318, rxn29325, rxn29342	AT4G32400		cd, cm	Dual targeting: plastid and mitochondria PMID:21330298	
Cofactor_transport_in_plants	Nucleotide transport	rxn08236, rxn08680, rxn09686, rxn29240, rxn29318, rxn29325, rxn29342	AT1G70330		cv	Exports nucleosides out of vacuole [PMID:25250038] 	
Cofactor_transport_in_plants	Biotin transport	rxn29122			cm	Biotin-dependent enzymes are localised in plastids, mitochondria, and cytosol [PMID:8489267]. Therefore transport systems are needed to export biotin from mitochondria and to import it into plastids.	
Cofactor_transport_in_plants	CoA transport	rxn10832			cd, cm		
Cofactor_transport_in_plants	Dimethylallyl diphosphate transport	rxn34362			cd		
Cofactor_transport_in_plants	Farnesyl diphosphate transport	rxn13290			cd		
Cofactor_transport_in_plants	HS transport	rxn08689			cd, cm		
Cofactor_transport_in_plants	Hydrouracil transport	rxn39244			cd		
Cofactor_transport_in_plants	KAPA transport	rxn38788			cm, cx		
Cofactor_transport_in_plants	NAD and other nucleotides transport (of mitochondrial carrier family; TC 2.A.29.10.10)	rxn10867, rxn13360, rxn13361, rxn29785, rxn33186	AT2G47490		cd	 Transport activity with NAD, NaAD, NMN, NaMN, and nucleotides of A, G, U, and T. SUBA andPPDB: GFP plastid	
Cofactor_transport_in_plants	NAD and other nucleotides transport (of mitochondrial carrier family; TC 2.A.29.10.10)	rxn10867, rxn13360, rxn13361, rxn29785, rxn33186	AT1G25380		cm	Mitochondrial NAD carrier. Transport activity with NAD, NaAD, NMN, NaMN, and nucleotides of A, G, U, and T. SUBA: GFP mito; MS data plasma membrane.PPDB: GFP curated location mito	
Cofactor_transport_in_plants	NAD and other nucleotides transport (of mitochondrial carrier family; TC 2.A.29.10.10)	rxn10867, rxn13360, rxn13361, rxn29785, rxn33186	AT2G39970		cx	SUBA: GFP and MS data peroxisome; PPDB: curated peroxisome.	
Cofactor_transport_in_plants	Plastoquinone transport	rxn39255			cd		
Cofactor_transport_in_plants	PLP transport	rxn32037			cd, cm, cx		
Cofactor_transport_in_plants	Riboflavin transport	rxn05224			cd, cm	Tobacco mitochondria take up riboflavin and convert it to FMN and FAD in vitro [PMID:19049514]. Pea chloroplasts synthesize FMN and FAD from imported riboflavin [PMID:18713732]. 	
Cofactor_transport_in_plants	S-Adenosyl-4-methylthio-2-oxobutanoate transport	rxn39249			cm		
