1	EC number	Spectator Cofactors	Co-substrate Cofactors	Class	Subsystem	Functional Role	Reaction	Equation	Comments
2	2.6.1.2			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Alanine transaminase (EC 2.6.1.2)	rxn00191	(1) 2-Oxoglutarate[0] + (1) L-Alanine[0] <=> (1) Pyruvate[0] + (1) L-Glutamate[0]	
3	2.8.1.7			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	rxn17731	(2) S-Adenosyl-L-methionine[0] + (1) L-Cysteine[0] + (1) Dethiobiotin[0] => (1) L-Alanine[0] + (2) L-Methionine[0] + (1) BIOT[0] + (2) 5'-Deoxyadenosine[0]	
4	2.8.1.7			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Cysteine desulfurase (EC 2.8.1.7), IscS subfamily	rxn26037	(1) L-Cysteine[0] + (1) L-Cysteine-Desulfurases[0] <=> (1) L-Alanine[0] + (1) Persulfurated-L-cysteine-desulfurases[0]	
5	2.8.1.7			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Cysteine desulfurase (EC 2.8.1.7), SufS subfamily	rxn26037	(1) L-Cysteine[0] + (1) L-Cysteine-Desulfurases[0] <=> (1) L-Alanine[0] + (1) Persulfurated-L-cysteine-desulfurases[0]	
6	1.1.1.95			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	D-3-phosphoglycerate dehydrogenase (EC 1.1.1.95)	rxn01101	(1) NAD[0] + (1) 3-Phosphoglycerate[0] <=> (1) NADH[0] + (1) H+[0] + (1) 3-Phosphonooxypyruvate[0]	
7	4.3.1.18			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	D-serine dehydratase (EC 4.3.1.18)	rxn00166	(1) D-Serine[0] <=> (1) NH3[0] + (1) Pyruvate[0]	
8	2.6.1.4			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Glutamate-glyoxylate aminotransferase (EC 2.6.1.4)	rxn00275	(1) 2-Oxoglutarate[0] + (1) Glycine[0] <=> (1) L-Glutamate[0] + (1) Glyoxalate[0]	
9	2.6.1.2			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Glutamate-pyruvate aminotransferase (EC 2.6.1.2)	rxn00191	(1) 2-Oxoglutarate[0] + (1) L-Alanine[0] <=> (1) Pyruvate[0] + (1) L-Glutamate[0]	
10	2.6.1.44			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn00272	(1) L-Alanine[0] + (1) Glyoxalate[0] <=> (1) Pyruvate[0] + (1) Glycine[0]	
11	2.6.1.44			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	L-alanine:glyoxylate aminotransferase (EC 2.6.1.44)	rxn00275	(1) 2-Oxoglutarate[0] + (1) Glycine[0] <=> (1) L-Glutamate[0] + (1) Glyoxalate[0]	
12	4.1.2.48			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Low-specificity L-threonine aldolase (EC 4.1.2.48)	rxn00541	(1) L-Threonine[0] <=> (1) Glycine[0] + (1) Acetaldehyde[0]	
13	4.1.2.5			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Low-specificity L-threonine aldolase (EC 4.1.2.5)	rxn00541	(1) L-Threonine[0] <=> (1) Glycine[0] + (1) Acetaldehyde[0]	
14	2.6.1.52			Amino acids	Alanine,_serine,_glycine_metabolism_in_plants	Phosphoserine aminotransferase (EC 2.6.1.52)	rxn02914	(1) 2-Oxoglutarate[0] + (1) phosphoserine[0] <=> (1) L-Glutamate[0] + (1) 3-Phosphonooxypyruvate[0]	
