"PSI","Species A","Species B"
"0.05","Taxus_chinensis||evm2.model.Chr01.3241","sp|Q84KI1|T14H_TAXCU"
"0.05","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr01.3241"
"0.06","Taxus_chinensis||evm2.model.Chr01.3241","sp|Q9AXM6|T10H_TAXCU"
"0.07","Taxus_chinensis||evm2.model.Chr04.937","sp|Q6WG30|T5H_TAXCU"
"0.07","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr04.937"
"0.08","Taxus_chinensis||evm2.model.Chr01.3241","sp|Q6WG30|T5H_TAXCU"
"0.08","Taxus_chinensis||evm2.model.Chr04.937","sp|Q84KI1|T14H_TAXCU"
"0.08","Taxus_chinensis||evm2.model.Chr04.937","sp|Q9AXM6|T10H_TAXCU"
"0.08","sp|Q6WG30|T5H_TAXCU","Taxus_chinensis||evm2.model.Chr01.3241"
"0.08","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr04.937"
"0.09","Taxus_chinensis||evm2.model.Chr01.3241","sp|Q8W4T9|T13H_TAXCU"
"0.09","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr01.3241"
"0.10","Taxus_chinensis||evm2.model.Chr01.537","sp|Q8W4T9|T13H_TAXCU"
"0.10","Taxus_chinensis||evm2.model.Chr01.537","sp|Q9AXM6|T10H_TAXCU"
"0.10","Taxus_chinensis||evm2.model.Chr04.937","sp|Q8W4T9|T13H_TAXCU"
"0.10","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr01.537"
"0.10","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr04.937"
"0.12","Taxus_chinensis||evm2.model.Chr01.537","sp|Q84KI1|T14H_TAXCU"
"0.12","Taxus_chinensis||evm2.model.Chr03.3086","sp|Q8W4T9|T13H_TAXCU"
"0.12","sp|Q84KI1|T14H_TAXCU","Taxus_chinensis||evm2.model.Chr01.537"
"0.12","sp|Q8W4T9|T13H_TAXCU","Taxus_chinensis||evm2.model.Chr03.3086"
